iter	Passed	Remaining
0	145	145712
1	151	75437
2	159	53020
3	166	41515
4	168	33569
5	175	28999
6	177	25216
7	180	22333
8	183	20175
9	185	18386
10	187	16853
11	189	15568
12	190	14476
13	193	13605
14	195	12806
15	196	12094
16	198	11469
17	200	10913
18	201	10412
19	203	9960
20	204	9551
21	206	9181
22	208	8875
23	210	8562
24	212	8285
25	214	8022
26	215	7775
27	217	7544
28	218	7329
29	220	7128
30	222	6952
31	224	6776
32	225	6611
33	227	6457
34	228	6310
35	230	6172
36	232	6039
37	233	5914
38	235	5802
39	237	5707
40	239	5603
41	241	5506
42	243	5408
43	244	5315
44	246	5225
45	247	5137
46	249	5053
47	250	4971
48	252	4898
49	253	4823
50	255	4752
51	256	4684
52	258	4616
53	259	4552
54	261	4490
55	262	4431
56	264	4374
57	266	4320
58	267	4268
59	269	4217
60	270	4165
61	272	4118
62	273	4072
63	275	4028
64	276	3984
65	278	3941
66	279	3898
67	281	3851
68	282	3813
69	284	3776
70	285	3738
71	287	3701
72	288	3666
73	290	3631
74	291	3598
75	293	3564
76	294	3532
77	296	3504
78	298	3477
79	299	3448
80	301	3418
81	302	3390
82	304	3362
83	305	3334
84	306	3302
85	308	3277
86	309	3249
87	311	3228
88	313	3204
89	314	3180
90	316	3157
91	317	3135
92	319	3112
93	320	3090
94	322	3069
95	323	3047
96	325	3032
97	327	3017
98	330	3003
99	332	2988
100	333	2969
101	334	2944
102	335	2925
103	337	2907
104	339	2894
105	341	2876
106	342	2859
107	344	2841
108	345	2825
109	347	2808
110	348	2791
111	350	2775
112	351	2759
113	353	2744
114	354	2731
115	356	2714
116	357	2699
117	359	2684
118	360	2667
119	361	2653
120	363	2638
121	364	2625
122	365	2606
123	366	2592
124	368	2580
125	370	2567
126	371	2555
127	372	2539
128	374	2526
129	375	2514
130	377	2502
131	378	2490
132	380	2479
133	382	2469
134	383	2459
135	385	2447
136	386	2436
137	388	2424
138	389	2412
139	391	2401
140	392	2391
141	393	2380
142	395	2370
143	397	2359
144	398	2350
145	400	2340
146	401	2330
147	403	2320
148	404	2311
149	406	2301
150	407	2291
151	409	2284
152	411	2277
153	413	2270
154	414	2260
155	416	2251
156	417	2242
157	419	2233
158	420	2224
159	422	2215
160	423	2209
161	425	2202
162	427	2195
163	429	2187
164	430	2179
165	432	2171
166	433	2163
167	435	2155
168	436	2147
169	438	2142
170	440	2135
171	442	2128
172	443	2121
173	445	2113
174	446	2106
175	448	2098
176	449	2091
177	451	2085
178	453	2080
179	455	2075
180	456	2065
181	457	2057
182	459	2050
183	460	2043
184	462	2036
185	463	2029
186	465	2023
187	466	2016
188	468	2009
189	469	2002
190	471	1996
191	472	1990
192	474	1983
193	475	1977
194	477	1970
195	479	1966
196	481	1960
197	482	1954
198	484	1948
199	485	1942
200	487	1936
201	488	1930
202	490	1924
203	491	1918
204	493	1912
205	494	1906
206	496	1900
207	497	1894
208	498	1888
209	500	1883
